,MSOA11CD,Count
783,E02000814,5.0
784,E02000815,4.0
785,E02000816,0.0
786,E02000817,0.0
787,E02000818,13.0
788,E02000819,1.0
789,E02000820,12.0
790,E02000821,5.0
791,E02000822,1.0
792,E02000823,4.0
793,E02000824,3.0
794,E02000825,1.0
795,E02000826,0.0
796,E02000827,11.0
797,E02000828,6.0
798,E02000829,5.0
799,E02000830,18.0
800,E02000831,18.0
801,E02000832,3.0
802,E02000833,0.0
803,E02000834,6.0
804,E02000835,1.0
805,E02000836,22.0
806,E02000837,6.0
807,E02000838,4.0
808,E02000839,1.0
809,E02000840,0.0
810,E02000841,0.0
811,E02000842,4.0
812,E02000843,1.0
813,E02000844,1.0
814,E02000845,5.0
815,E02000846,3.0
816,E02000847,2.0
817,E02000848,1.0
818,E02000849,1.0
819,E02000850,3.0
820,E02000851,7.0
821,E02000852,2.0
822,E02000853,1.0
823,E02000854,6.0
824,E02000855,8.0
825,E02000856,8.0
826,E02000857,5.0
827,E02000858,3.0
828,E02000859,0.0
829,E02000860,1.0
830,E02000861,2.0
831,E02000863,0.0
832,E02000864,6.0
833,E02000865,10.0
834,E02000866,11.0
835,E02000867,0.0
836,E02000868,8.0
837,E02000869,7.0
838,E02000870,5.0
839,E02000871,0.0
840,E02000872,29.0
841,E02000873,4.0
842,E02000874,1.0
843,E02000875,1.0
844,E02000876,8.0
845,E02000877,5.0
846,E02000878,91.0
847,E02000879,11.0
848,E02000880,2.0
849,E02000881,0.0
850,E02000882,2.0
851,E02000883,4.0
852,E02000884,24.0
853,E02000885,5.0
854,E02000886,6.0
855,E02000887,2.0
856,E02000888,7.0
857,E02000889,2.0
858,E02000890,14.0
859,E02000891,9.0
860,E02000893,2.0
861,E02000894,1.0
862,E02000895,1.0
863,E02000896,0.0
864,E02000897,0.0
865,E02000898,1.0
866,E02000899,8.0
867,E02000900,1.0
868,E02000901,2.0
869,E02000902,0.0
870,E02000903,3.0
871,E02000904,3.0
872,E02000905,2.0
873,E02000906,0.0
874,E02000907,5.0
875,E02000908,1.0
876,E02000909,3.0
877,E02000910,4.0
878,E02000911,10.0
879,E02000912,1.0
880,E02000913,1.0
881,E02000914,7.0
882,E02000915,1.0
883,E02000916,6.0
884,E02000917,2.0
885,E02000918,9.0
886,E02000919,2.0
887,E02000920,4.0
888,E02000921,3.0
889,E02000922,2.0
890,E02000923,11.0
891,E02000924,10.0
892,E02000925,8.0
893,E02000926,12.0
894,E02000927,14.0
895,E02000928,8.0
896,E02000929,0.0
897,E02000930,31.0
898,E02000931,6.0
899,E02000932,37.0
900,E02000933,6.0
901,E02000934,15.0
902,E02000935,1.0
903,E02000936,1.0
904,E02000937,6.0
905,E02000938,0.0
906,E02000939,0.0
907,E02000940,12.0
908,E02000941,0.0
909,E02000942,4.0
910,E02000943,14.0
911,E02000944,1.0
912,E02000945,2.0
913,E02000946,9.0
914,E02000947,5.0
915,E02000948,2.0
916,E02000949,10.0
917,E02000950,0.0
918,E02000951,13.0
919,E02000952,6.0
