,cluster_1_degree,edu_rate,lnhouseprice,rest_density,pop_density,workplace_density,under_density,market_density,bus_density
902,0.0,0.239,12.813117127036707,0.007004763239002522,50.084057158868035,1.260857383020454,0.0,0.007004763239002522,0.07004763239002522
903,3.0,0.618,13.112313041550827,0.011091393078970719,104.38110026619344,6.266637089618456,0.0,0.03327417923691216,0.18855368234250222
904,0.0,0.674,13.690853953364718,0.04862630683199611,69.74633276602643,4.416889537239647,0.0,0.0,0.12967015155198963
905,0.0,0.407,13.321214236149494,0.0,64.1343258139667,2.1592135916813455,0.0,0.0,0.15341780782999034
906,1.0,0.658,14.035850181945749,0.0,114.27001785469028,6.111797829968411,0.0,0.0,0.17854690289795358
907,3.0,0.479,13.065793025915934,0.17123287671232876,123.45890410958904,8.704337899543379,0.0,0.11415525114155252,0.2711187214611872
908,2.0,0.575,13.345506928718539,0.0,97.1900047147572,5.893446487505893,0.0,0.00942951438000943,0.1603017444601603
909,2.0,0.604,13.644128941208654,0.039549139806209214,94.70041526596796,5.882934546173621,0.0,0.029661854854656913,0.11864741941862765
910,1.0,0.665,13.31504772123383,0.1984126984126984,124.97165532879818,9.708049886621314,0.014172335600907028,0.08503401360544217,0.17006802721088435
911,0.0,0.386,12.917796211663054,0.017073587160662457,124.39815605258664,3.2439815605258664,0.0,0.017073587160662457,0.2219566330886119
912,0.0,0.27,12.886641043883259,0.00905018326621114,38.291325399339335,1.063396533779809,0.0,0.01810036653242228,0.1221774740938504
913,2.0,0.458,13.249876697703288,0.08443568815085843,77.56825218125527,4.925415142133408,0.009381743127873158,0.018763486255746316,0.15010789004597053
914,0.0,0.622,13.399995114002609,0.060045634682358594,108.9227813137985,6.304791641647652,0.0,0.01200912693647172,0.09607301549177376
915,0.0,0.663,13.312983737012978,0.015068183530475402,73.5402697204852,3.201989000226023,0.0,0.0,0.06027273412190161
916,0.0,0.651,13.45166712454693,0.07150518412584912,70.18233821952091,4.504826599928495,0.007150518412584913,0.014301036825169826,0.10725777618877369
917,0.0,0.496,13.005829561148378,0.0,87.53201396973225,3.317811408614668,0.0,0.011641443538998835,0.18626309662398136
918,0.0,0.587,13.270783382522602,0.2644426362896664,128.51912123677786,7.933279088689992,0.0,0.04068348250610253,0.20341741253051263
919,0.0,0.578,13.38087407255583,0.10741138560687433,107.19656283566059,5.1020408163265305,0.0,0.03580379520229144,0.12531328320802004
920,1.0,0.554,13.345506928718539,0.05808887598024978,113.78158582631426,5.881498693000291,0.0,0.02904443799012489,0.14522218995062447
921,1.0,0.5,13.345506928718539,0.11103708638685321,134.88785254274927,6.5511880968243394,0.0,0.04441483455474128,0.08882966910948256
922,0.0,0.383,13.17115354157376,0.08912655971479501,114.68805704099822,6.327985739750446,0.0,0.0,0.07130124777183601
923,0.0,0.411,13.037350003077371,0.11667250029168126,95.20476023801191,3.616847509042119,0.0,0.011667250029168127,0.29168125072920315
924,2.0,0.451,13.17115354157376,0.18827326519634213,149.6637977407208,8.808499193114578,0.0,0.08068854222700376,0.2689618074233459
925,0.0,0.425,13.433517806041252,0.0,97.45230078563412,3.4231200897867566,0.0,0.011223344556677891,0.16835016835016836
926,3.0,0.393,12.980799813082541,0.019146084625694046,158.8933563086349,5.360903695194333,0.0,0.019146084625694046,0.22975301550832855
927,1.0,0.515,13.95004145092188,0.07597134794877361,99.5658780117213,5.480790102018667,0.0,0.010853049706967658,0.10853049706967657
928,3.0,0.495,13.840203170554645,0.1476923076923077,147.18769230769232,5.907692307692308,0.0,0.0,0.1476923076923077
929,3.0,0.52,13.614006181753545,0.043240126837705395,160.00288267512252,5.9094840011530705,0.0,0.0,0.2017872585759585
930,1.0,0.286,13.304684934198283,0.0,229.97124075595727,6.676253081347576,0.0,0.0,0.16433853738701726
931,1.0,0.382,13.213117740672793,0.09828975820719482,274.562610575978,10.61529388637704,0.0,0.058973854924316886,0.3341851779044624
932,1.0,0.581,13.547631112808673,0.08141664970486465,195.33889680439648,10.380622837370241,0.0,0.0,0.1017708121310808
933,5.0,0.617,13.761582215938718,0.24991074616208495,207.49732238486254,13.12031417350946,0.0,0.035701535166012134,0.1785076758300607
