,MSOA11CD,cluster_1_degree,restaurant,edu_rate,population,income,workplace,employee,PTAI,rail_sta,under_sta,supermarket,bus_stop,area,rest_degree,pop_degree,income_degree,workplace_degree,employee_degree,rail_degree,under_degree,market_degree,bus_degree
26,E02000028,0.0,5.0,0.412,6839,61700,420.0,1500.0,17.14991808,1.0,1.0,2.0,26.0,105.56,0.0473664266767715,64.78779840848806,584.5017051913603,3.9787798408488064,14.20992800303145,0.009473285335354301,0.009473285335354301,0.018946570670708603,0.24630541871921183
27,E02000029,0.0,5.0,0.359,9535,55500,530.0,2250.0,2.909372091,0.0,0.0,4.0,20.0,168.45,0.029682398337785694,56.60433363015732,329.4746215494212,3.1463342238052836,13.357079252003563,0.0,0.0,0.023745918670228554,0.11872959335114278
28,E02000030,0.0,1.0,0.393,9339,58000,540.0,1750.0,11.78719033,0.0,0.0,0.0,47.0,1457.87,0.0006859322161783973,6.4059209668900525,39.78406853834704,0.37040339673633454,1.2003813783121953,0.0,0.0,0.0,0.032238814160384675
29,E02000031,0.0,16.0,0.433,8131,58400,780.0,4500.0,6.64940462,1.0,1.0,3.0,29.0,193.89,0.08252101707153542,41.936149363040904,301.20171231110425,4.0228995822373514,23.209036051369335,0.005157563566970964,0.005157563566970964,0.01547269070091289,0.14956934344215794
30,E02000032,0.0,1.0,0.376,7702,59600,385.0,1000.0,5.14680207,0.0,0.0,1.0,15.0,139.78,0.007154099298898269,55.100872800114466,426.3843182143368,2.7543282300758336,7.154099298898268,0.0,0.0,0.007154099298898269,0.10731148948347403
31,E02000033,0.0,4.0,0.314,8986,51100,520.0,3000.0,7.586716576,0.0,0.0,2.0,24.0,177.59,0.022523790753983895,50.59969592882482,287.74142688214425,2.9280927980179063,16.89284306548792,0.0,0.0,0.011261895376991947,0.13514274452390337
32,E02000034,0.0,5.0,0.398,9383,52200,460.0,1500.0,26.44899281,0.0,0.0,2.0,16.0,155.82,0.03208830702092158,60.216916955461436,335.00192529842127,2.952124245924785,9.626492106276473,0.0,0.0,0.01283532280836863,0.10268258246694904
33,E02000035,0.0,5.0,0.467,9073,54500,570.0,2500.0,10.19015492,0.0,0.0,0.0,16.0,129.76,0.038532675709001235,69.92139334155364,420.00616522811345,4.392725030826141,19.26633785450062,0.0,0.0,0.0,0.12330456226880396
34,E02000036,0.0,2.0,0.348,11670,53800,485.0,1500.0,9.195243033,0.0,0.0,2.0,19.0,179.47,0.011143923775561376,65.02479523040063,299.77154956260097,2.7024015155736336,8.357942831671032,0.0,0.0,0.011143923775561376,0.10586727586783307
35,E02000037,0.0,2.0,0.374,10678,56300,630.0,1750.0,2.820122046,0.0,0.0,2.0,23.0,432.44,0.004624919063916382,24.692442882249562,130.19147164924613,1.45684950513366,4.046804180926833,0.0,0.0,0.004624919063916382,0.05318656923503839
