,id,category,longitude,latitude,general_category
164,KPYBdvM1c_CD6CFLY4Wyfg,chinese,-0.0924402343932798,51.5111379312697,Chinese
165,1Q5JKrOdiZFn2ogDjCShfw,chinese,-0.0879968,51.5170655,Chinese
166,3FwD_RWAvAXhRtg-7hubDg,chinese,-0.104653,51.512252,Chinese
167,2G0a1v9ubpNO_wADUVgs3A,chinese,-0.0837440883779572,51.5189227598192,Chinese
168,LeqiFhM9mMPlYX3RiUHl6A,chinese,-0.0917166,51.5149019,Chinese
169,yjOfHRiophJoU1EyccYPyw,chinese,-0.1003585,51.5190076,Chinese
170,5fosBAWz-39kc6rknRD43A,chinese,-0.0945117,51.5135445,Chinese
171,t3LIGQeXCmdD4Ppt5CDiNA,chinese,-0.0863114,51.5137628,Chinese
172,WZhxHuSmAfumIhfHD612Bg,chinese,-0.101675,51.52251,Chinese
173,HXebknykV5je4suDT0zsRA,chinese,-0.0794092,51.5183078,Chinese
174,K74aGqVpQX0MVnP79toX_w,chinese,-0.08108,51.50969,Chinese
175,pRgfoajLZn0qGRSUecFwNg,chinese,-0.081858,51.520344,Chinese
176,EpEfUBNrEJVQLD9HCcGIBg,indpak,-0.091741,51.51272,Indian
177,lti_eKwmCxf1dfitH-L6XA,indpak,-0.0920543,51.5114972,Indian
178,_V1c43UWStUIVHVtqOBFYg,indpak,-0.0968834955577055,51.5186347846798,Indian
179,ld7lbCnio2TeX06vKvxX2g,indpak,-0.104524,51.513788,Indian
182,fzfmEUzadkaQ91obG9fURA,indpak,-0.096916,51.518746,Indian
183,A-w-tzQRddfWqJkdhWWSpw,indpak,-0.0879521,51.5149202,Indian
185,vihWwsU4-DnNyvatYiEuEw,indpak,-0.0926378,51.5115623,Indian
186,5KbbZ-hva79LpcXkNef0Bg,indpak,-0.0937566,51.5127159,Indian
188,9wTR6XSC1U3Sr8eyecAtQg,indpak,-0.085038,51.5120997,Indian
189,xBsCdixP2gSlRV9rgmuALg,indpak,-0.08738,51.52235,Indian
191,Qw1wLUqeOqLHqe9uQfSoug,indpak,-0.079156472825494,51.513575098778,Indian
194,WrPu13a0GPmoV_d0PG-QMw,indpak,-0.101583,51.512923,Indian
195,360uQsuXgXsjCyKn6yhC8A,indpak,-0.0808382,51.5244274,Indian
