,id,category,longitude,latitude,general_category,geometry,index_right,MSOA11CD,MSOA11NM,LAD11CD,LAD11NM,RGN11CD,RGN11NM,USUALRES,HHOLDRES,COMESTRES,POPDEN,HHOLDS,AVHHOLDSZ
2618,dvvBJYgNczcYMUP64R6USw,indpak,-0.0178251,51.6105537,Indian,POINT (537349.5173786001 192052.0223794327),866.0,E02000899,Waltham Forest 005,E09000031,Waltham Forest,E12000007,London,7920.0,7866.0,54.0,65.8,3090.0,2.5
2619,xPienY-QCEyIms2H230C7w,indpak,-0.1099111,51.6089374,Indian,POINT (530978.343463059 191703.3695715009),303.0,E02000312,Enfield 036,E09000010,Enfield,E12000007,London,10473.0,10404.0,69.0,79.9,4262.0,2.4
2621,-Fnc2-wKxAt5h6Lf_rA4Nw,indpak,-0.0804915869357226,51.6535583220459,Indian,POINT (532884.9980151556 196718.5225875132),276.0,E02000284,Enfield 008,E09000010,Enfield,E12000007,London,8200.0,8152.0,48.0,63.9,3497.0,2.3
2622,m2gGSkgTtbVXyP5pxR6pyg,indpak,-0.052577,51.628537,Indian,POINT (534890.0889166383 193987.1517632647),291.0,E02000299,Enfield 023,E09000010,Enfield,E12000007,London,9312.0,9262.0,50.0,106.2,3438.0,2.7
2623,vSguXDi_2uNm-FP9oex3Sg,indpak,-0.0579280694308593,51.6608313031912,Indian,POINT (534424.2605556743 197568.5732012761),273.0,E02000281,Enfield 005,E09000010,Enfield,E12000007,London,8835.0,8705.0,130.0,46.6,3531.0,2.5
2626,WaHervG2Lg7Sg390bEfBFA,indpak,-0.093479,51.6537742,Indian,POINT (531986.0006822837 196718.9996264228),278.0,E02000286,Enfield 010,E09000010,Enfield,E12000007,London,8158.0,7940.0,218.0,39.8,3863.0,2.1
2627,0AUAandMlN-HB4HXVasPSA,indpak,-0.0172551,51.6156197,Indian,POINT (537373.697611734 192616.4502630052),866.0,E02000899,Waltham Forest 005,E09000031,Waltham Forest,E12000007,London,7920.0,7866.0,54.0,65.8,3090.0,2.5
2629,k39S-HcQ4znzdFkA2Q4YnA,indpak,-0.1224362,51.6134822,Indian,POINT (530098.1133107278 192186.4206779774),296.0,E02000304,Enfield 028,E09000010,Enfield,E12000007,London,8089.0,7997.0,92.0,47.0,2964.0,2.7
2630,GMNFo5zUSqunj4QL2_zJNA,indpak,-0.134815,51.615933,Indian,POINT (529234.1256206343 192437.0169057259),300.0,E02000308,Enfield 032,E09000010,Enfield,E12000007,London,7736.0,7661.0,75.0,67.4,2908.0,2.6
2634,h3OiTgRhhjCtM0058nOsgw,indpak,-0.0250393,51.6082938,Indian,POINT (536856.8170536425 191787.1901403558),867.0,E02000900,Waltham Forest 006,E09000031,Waltham Forest,E12000007,London,8088.0,8062.0,26.0,52.1,2986.0,2.7
2635,q9yIw_flm7SNv1wnbjN09g,indpak,-0.033413,51.684078,Indian,POINT (536050.120828255 200199.089872967),,,,,,,,,,,,,
2636,7BrBxXg0IeROzN9pJQt4WQ,indpak,-0.122751,51.613529,Indian,POINT (530076.1848311358 192191.0651837733),296.0,E02000304,Enfield 028,E09000010,Enfield,E12000007,London,8089.0,7997.0,92.0,47.0,2964.0,2.7
2637,w39uz4bJjyRd5KUgqYRR5w,indpak,-0.0337165,51.6828532,Indian,POINT (536032.809605926 200062.3208924573),,,,,,,,,,,,,
2640,h8UcJsddfVK1bNLrXC3sOg,malaysian,-0.094213,51.634849,Southeast_Asian,POINT (531990.1352124903 194613.0927819858),290.0,E02000298,Enfield 022,E09000010,Enfield,E12000007,London,7976.0,7909.0,67.0,39.9,3075.0,2.6
2642,Mq4s0mpgPdH4eGomgB57Sw,thai,-0.09601,51.6315002,Southeast_Asian,POINT (531875.4860941793 194237.446800058),290.0,E02000298,Enfield 022,E09000010,Enfield,E12000007,London,7976.0,7909.0,67.0,39.9,3075.0,2.6
2645,4vkOKphSC5LCu6MB3JYbPw,japanese,-0.0170127913639395,51.6197888381706,Japanese_Korean,POINT (537377.8911608697 193080.5288156438),866.0,E02000899,Waltham Forest 005,E09000031,Waltham Forest,E12000007,London,7920.0,7866.0,54.0,65.8,3090.0,2.5
2648,rBVy170iPcXhXcOcI3otOA,tradamerican,-0.0612183,51.650908,American,POINT (534225.9982170044 196459.006495025),280.0,E02000288,Enfield 012,E09000010,Enfield,E12000007,London,10490.0,10462.0,28.0,49.6,3784.0,2.8
2649,mQC-N3mtm8LfxhEDv7MMfw,tradamerican,-0.0271221,51.6632415,American,POINT (536547.5888516685 197893.7048677374),282.0,E02000290,Enfield 014,E09000010,Enfield,E12000007,London,7242.0,7242.0,0.0,14.8,2853.0,2.5
2650,LQ-az6WCMfnjvTQZ3bVDYQ,tradamerican,-0.0646017,51.6124847,American,POINT (534105.1364953391 192179.9514098724),301.0,E02000309,Enfield 033,E09000010,Enfield,E12000007,London,10489.0,10412.0,77.0,64.4,3785.0,2.8
